Frame,Current_Loudness,Baseline_Loudness,Delta_Loudness,Baseline_Loudness_Deviation,Loudness_Category
337,-6.011756,-6.0106329917907715,-0.0011229515,0.0015694681787863374,No Significant Change
338,-6.0096097,-6.010688781738281,0.0010790825,0.0015471423976123333,No Significant Change
339,-6.011674,-6.010634899139404,-0.0010390282,0.0015237393090501428,No Significant Change
340,-6.009662,-6.010686874389648,0.001024723,0.0014995037345215678,No Significant Change
341,-6.0116105,-6.010635852813721,-0.00097465515,0.0014757646713405848,No Significant Change
342,-6.009756,-6.010684490203857,0.00092840195,0.0014507091837003827,No Significant Change
343,-6.011522,-6.010638236999512,-0.00088357925,0.0014245938509702682,No Significant Change
344,-6.009805,-6.010682582855225,0.0008773804,0.0013975431211292744,No Significant Change
345,-6.0114484,-6.01063871383667,-0.0008096695,0.0013715350069105625,No Significant Change
346,-6.009894,-6.010679244995117,0.0007853508,0.0013434416614472866,No Significant Change
347,-6.0113583,-6.0106401443481445,-0.00071811676,0.001315537141636014,No Significant Change
348,-6.0099554,-6.010676383972168,0.0007209778,0.0012856661342084408,No Significant Change
349,-6.011288,-6.0106401443481445,-0.0006480217,0.0012574318097904325,No Significant Change
350,-6.010051,-6.010672569274902,0.00062179565,0.0012269612634554505,No Significant Change
351,-6.011197,-6.010641098022461,-0.0005559921,0.0011967029422521591,No Significant Change
352,-6.010115,-6.010669231414795,0.0005540848,0.0011646674247458577,No Significant Change
353,-6.011126,-6.010641574859619,-0.00048446655,0.0011341383215039968,No Significant Change
354,-6.0102105,-6.0106658935546875,0.0004553795,0.0011016547214239836,No Significant Change
355,-6.011032,-6.010643005371094,-0.00038909912,0.0010693409712985158,No Significant Change
356,-6.010279,-6.010662078857422,0.00038290024,0.0010353289544582367,No Significant Change
357,-6.0109634,-6.0106425285339355,-0.0003209114,0.0010027075186371803,No Significant Change
358,-6.0103774,-6.010658264160156,0.0002808571,0.001,No Significant Change
359,-6.0108657,-6.010644435882568,-0.00022125244,0.001,No Significant Change
360,-6.0104504,-6.010655403137207,0.00020503998,0.001,No Significant Change
361,-6.010803,-6.010644912719727,-0.00015830994,0.001,No Significant Change
362,-6.0105553,-6.010652542114258,9.727478e-05,0.001,No Significant Change
